timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 09:58:11.959, 83 %, 44 %, 49.06 W, 1063 MHz
2020/12/31 09:58:12.962, 98 %, 54 %, 58.63 W, 1063 MHz
2020/12/31 09:58:13.964, 77 %, 41 %, 48.68 W, 1063 MHz
2020/12/31 09:58:14.967, 46 %, 23 %, 47.91 W, 1063 MHz
2020/12/31 09:58:15.970, 62 %, 31 %, 48.01 W, 1063 MHz
2020/12/31 09:58:16.976, 100 %, 64 %, 48.49 W, 1063 MHz
2020/12/31 09:58:17.979, 100 %, 60 %, 47.91 W, 1063 MHz
2020/12/31 09:58:18.982, 100 %, 65 %, 72.03 W, 1063 MHz
2020/12/31 09:58:19.987, 100 %, 64 %, 114.52 W, 1063 MHz
2020/12/31 09:58:20.990, 100 %, 63 %, 112.70 W, 1063 MHz
2020/12/31 09:58:21.992, 100 %, 62 %, 113.75 W, 1063 MHz
2020/12/31 09:58:22.997, 100 %, 59 %, 116.22 W, 1063 MHz
2020/12/31 09:58:24.001, 100 %, 58 %, 115.50 W, 1063 MHz
2020/12/31 09:58:25.003, 100 %, 61 %, 112.25 W, 1063 MHz
2020/12/31 09:58:26.006, 100 %, 55 %, 114.41 W, 1063 MHz
2020/12/31 09:58:27.009, 100 %, 55 %, 114.31 W, 1063 MHz
2020/12/31 09:58:28.011, 100 %, 56 %, 117.42 W, 1063 MHz
2020/12/31 09:58:29.012, 100 %, 67 %, 114.45 W, 1063 MHz
2020/12/31 09:58:30.015, 100 %, 61 %, 113.35 W, 1063 MHz
2020/12/31 09:58:31.018, 100 %, 53 %, 116.84 W, 1063 MHz
2020/12/31 09:58:32.020, 100 %, 54 %, 114.55 W, 1063 MHz
2020/12/31 09:58:33.023, 100 %, 53 %, 112.21 W, 1063 MHz
2020/12/31 09:58:34.026, 100 %, 58 %, 114.60 W, 1063 MHz
2020/12/31 09:58:35.029, 100 %, 53 %, 110.29 W, 1063 MHz
2020/12/31 09:58:36.031, 100 %, 53 %, 113.96 W, 1063 MHz
2020/12/31 09:58:37.032, 100 %, 53 %, 111.15 W, 1063 MHz
2020/12/31 09:58:38.035, 100 %, 56 %, 114.32 W, 1063 MHz
2020/12/31 09:58:39.036, 100 %, 58 %, 115.40 W, 1063 MHz
2020/12/31 09:58:40.039, 100 %, 53 %, 112.63 W, 1063 MHz
2020/12/31 09:58:41.041, 100 %, 61 %, 112.89 W, 1063 MHz
2020/12/31 09:58:42.044, 96 %, 69 %, 114.27 W, 1063 MHz
2020/12/31 09:58:43.047, 99 %, 71 %, 112.70 W, 1063 MHz
2020/12/31 09:58:44.050, 100 %, 67 %, 113.75 W, 1063 MHz
2020/12/31 09:58:45.052, 100 %, 62 %, 111.17 W, 1063 MHz
2020/12/31 09:58:46.055, 95 %, 68 %, 117.51 W, 1063 MHz
2020/12/31 09:58:47.058, 65 %, 50 %, 113.26 W, 1063 MHz
2020/12/31 09:58:48.059, 38 %, 30 %, 114.35 W, 1063 MHz
2020/12/31 09:58:49.061, 0 %, 0 %, 105.41 W, 1063 MHz
2020/12/31 09:58:50.064, 0 %, 0 %, 47.82 W, 1063 MHz
2020/12/31 09:58:51.067, 0 %, 0 %, 57.19 W, 1063 MHz
2020/12/31 09:58:52.070, 0 %, 0 %, 48.01 W, 1063 MHz
2020/12/31 09:58:53.073, 14 %, 8 %, 47.92 W, 1063 MHz
2020/12/31 09:58:54.075, 0 %, 0 %, 47.82 W, 1063 MHz
2020/12/31 09:58:55.078, 23 %, 12 %, 47.91 W, 1063 MHz
2020/12/31 09:58:56.081, 47 %, 23 %, 48.11 W, 1063 MHz
